PQJ1,PQJ2,PQJ3,PQJ4,PQJ5,xiashan,julongtan,OT
10.4,0.8,19.8,8.6,17,3600,1338,8170
8,2,6,0.6,1.4,2967,943,7940
7.6,3.8,3.8,1.2,5.4,2238,614,7260
8.6,0.1,10,2.1,5.6,2265,501,6100
0.8,0.4,1.5,1.2,1,2570,499,5486.666667
7.4,6.3,3.7,1.1,1.2,2868,529,5506.666667
0,0,0,0,0,2905,527,5690
0,0,0,0,0,2922,489,5810
0,0,0,0,0,3044,594,5736.666667
0,0,0,0,0,2748,537,5630
0,0,0,0,0,2078,418,5410
0,0,0,0,0,1723,384,4813.333333
0,0,0,0,0,1281,384,3946.666667
0,0,0,0,0,1314,385,3173.333333
0,0,0,0,0,1099,383,2790
0,0,0,0,0,1015,373,2696.666667
0,0,0,0,0,999,373,2616.666667
0,0,0,0,0,852,374,2556.666667
0,0,0,0,0,844,373,2493.333333
0,0,0,0,0,805,250,2400
0,0,0,0,0,740,185,2300
0,0,0,0,0,753,326,2216.666667
0,0,0,0,0,640,360,2023.333333
0,0,0,0,0,672,358,1830
0,0,0,0,0,643,319,1626.666667
0,0,0,0,0,636,248,1563.333333
0,0,0,0,0,571,183,1513.333333
0,0,0,0,0,514,180,1470
0,0,0,0,0,298,2,620
0.6,0,0,0,0,340,51,621.6666667
6.7,0,0.7,0,0,271,155,598.3333333
23,8.3,15.8,1.9,1.4,273,172,665
13.1,17.1,14.3,17,60.8,344,174,963.3333333
11.6,17.9,23.5,19.1,61.8,562,177,1690
4.3,1.5,7.2,0.3,1.4,910,236,2450
2.8,9.4,6.2,0,4.4,787,507,3110
10.3,6.5,8.7,1.9,4.8,964,441,3373.333333
18.2,13.5,5.8,1.9,3.4,1078,410,3556.666667
4.1,1,7.8,4.4,4.4,1048,428,3680
0.8,6.2,0,0,0,1433,459,3550
0.2,0.6,0,0,0,1750,482,3850
0,0,0,0,0,1690,513,3620
0.1,0,0,0,0,1356,398,3466.666667
0,0,0,0,0,1043,463,3186.666667
0.1,0,0,0,0,957,399,2840
0,0,0,0,0,740,374,2343.333333
0,0,0,0,0,722,370,2070
0,0,0,0,0,643,368,1763.333333
0,0,0,0,0,559,366,1613.333333
0,0,0,0,0,618,290,1463.333333
0,0,0,0,0,529,228,1413.333333
0,0,0,0,0,516,159,1360
0,0,0,0,0,468,0,1286.666667
0,0,0,0,0,360,196,1173.333333
0,0,0,0,0,379,290,1150
0,0,0,0,0,434,340,1093.333333
0,0,0,0,0,379,3,1020
0.4,0,0,0,0,345,343,780
5.6,0.1,9.8,3.9,22.6,399,347,800
0,0,1,0,1,386,347,820
0.9,0,1,0,0,324,1,840
8,0,0,2,5.2,329,250,993.3333333
10.2,0.1,56.7,12.2,44.2,370,316,1296.666667
18,25,13.2,14.6,3.2,508,318,1646.666667
18.1,0.1,52.7,3.9,10.8,678,315,2113.333333
13.6,1.6,26.3,0.1,1,823,314,2596.666667
0.3,0.1,0.2,0,0,914,315,3133.333333
0,0,0,0,0,1482,279,3613.333333
0,0,0,0,0,2290,45,4120
0,0,0,0,0,2616,59,4810
0,0,0,0,0,2239,265,4580
0,0,0,0,0,1471,302,3886.666667
0,0,0,0,0,1256,0,3183.333333
0,0,0,0,0,1070,266,2630
0,0,0,0,0,709,284,2400
0,0,0,0,0,661,141,2303.333333
0,0,0,0,0,699,102,2106.666667
0,0,0,0,0,587,334,1896.666667
0,0,0,0,0,450,338,1723.333333
0,0,0,0,0,508,180,1546.666667
0,0,0,0,0,448,0,1333.333333
0,0,0,0,0,395,211,1173.333333
0,0,0,0,0,401,352,1153.333333
0,0,0,0,0,379,152,1240
0,0,0,0,0,271,0,1131.666667
0,0,0,0,0,374,0,1018.333333
0,0,0,0,0,416,0,880
0,0,0,0,0,189,143,570
0,0,0,1.4,0,189,143,646
20,20.4,13.5,17.7,15.6,180,152,896
25.2,17.2,14.3,26.2,14.4,254,175,1243.333333
11.7,8.1,14.3,7.7,13,530,179,1590
